x1,y1,z1,x2,y2,z2,delta
-1597.8384583764296,4690.194728898944,5155.4158465017235,-1506.5538099033424,4356.353659608641,5465.640752621885,0.9400000000000004
-1506.5538099033424,4356.353659608641,5465.640752621885,-1430.9246037063515,4074.430263116246,5697.867926226587,0.8959999999999999
-1430.9246037063515,4074.430263116246,5697.867926226587,-1338.3149829098625,3722.6655848634514,5954.62709760427,1.17
-1338.3149829098625,3722.6655848634514,5954.62709760427,-1615.772076162995,5798.496619779022,3863.6512637085134,-2.09
-1615.772076162995,5798.496619779022,3863.6512637085134,-1555.2387653208182,5550.4921633826925,4233.787292436512,-0.6870000000000003
-1555.2387653208182,5550.4921633826925,4233.787292436512,-1486.3026408204973,5260.6790672687885,4610.6454878869845,-0.3129999999999997
-1486.3026408204973,5260.6790672687885,4610.6454878869845,-1383.5182400369724,4814.657442785066,5102.3256656843405,0.4349999999999996
