lon,lat,x,y,z,difdis,time,ue_idx
116.18328951093449,39.99105872094429,-2159.160141391746,4391.225292409293,4077.225000483514,12.208771187514587,0.16584467887878418,0
lon,lat,x,y,z,difdis,time,ue_idx
116.14069554983612,39.99751304388696,-2155.6921567959616,4392.415720901926,4077.7740342155,15.777912577313558,0.1278681755065918,0
lon,lat,x,y,z,difdis,time,ue_idx
116.13623286638357,39.99711664004125,-2155.3624936252722,4392.609008948556,4077.7403157997564,16.16065398102544,0.13068413734436035,0
lon,lat,x,y,z,difdis,time,ue_idx
116.14070367772983,39.99751376579089,-2155.6927571985857,4392.415368847614,4077.7740956210264,15.777215532767135,0.08644938468933105,0
lon,lat,x,y,z,difdis,time,ue_idx
116.16144836938909,40.04176908912306,-2155.889751112849,4388.798419023892,4081.537270853612,14.6041433475474,0.10796308517456055,0
lon,lat,x,y,z,difdis,time,ue_idx
116.16144836938913,40.041769089123065,-2155.889751112853,4388.79841902389,4081.537270853612,14.604143347543081,0.1500566005706787,0
lon,lat,x,y,z,difdis,time,ue_idx
116.16144836938913,40.04176908912306,-2155.889751112853,4388.79841902389,4081.537270853612,14.604143347543081,0.1942908763885498,0
lon,lat,x,y,z,difdis,time,ue_idx
116.161448369389,40.04176908912306,-2155.889751112843,4388.798419023896,4081.537270853612,14.604143347553897,0.21646690368652344,0
lon,lat,x,y,z,difdis,time,ue_idx
0,0,0,0,0,0,0,0
lon,lat,x,y,z,difdis,time,ue_idx
0,0,0,0,0,0,0,0
lon,lat,x,y,z,difdis,time,ue_idx
0,0,0,0,0,0,0,0
lon,lat,x,y,z,difdis,time,ue_idx
0,0,0,0,0,0,0,0
lon,lat,x,y,z,difdis,time,ue_idx
116.2429838085049,40.01121702328761,-2163.097827568772,4387.68289430761,4078.9395863005566,7.0735809790618775,0.008349418640136719,0
lon,lat,x,y,z,difdis,time,ue_idx
116.16144836938922,40.04176908912304,-2155.889751112859,4388.7984190238885,4081.5372708536097,14.604143347536551,0.18962955474853516,0
lon,lat,x,y,z,difdis,time,ue_idx
116.16144836938923,40.041769089123044,-2155.8897511128607,4388.798419023888,4081.53727085361,14.604143347534706,0.1305391788482666,0
lon,lat,x,y,z,difdis,time,ue_idx
116.1614483693889,40.0417690891231,-2155.889751112834,4388.798419023897,4081.537270853615,14.604143347563392,0.1275792121887207,0
lon,lat,x,y,z,difdis,time,ue_idx
116.11820659776967,40.01783658521819,-2153.3292805099213,4391.958886596148,4079.5025110582983,17.93860603797511,0.1819314956665039,0
lon,lat,x,y,z,difdis,time,ue_idx
116.13847847856192,40.03372843635399,-2154.383123856991,4390.177956622935,4080.85372710048,16.57770869126998,0.13353800773620605,0
