lon,lat,x,y,z,difdis,time,ue_idx
116.3903440822907,39.99720485214676,-2174.8199945323795,4383.0010003932275,4077.747819205971,5.605563379524332,0.11722087860107422,0
lon,lat,x,y,z,difdis,time,ue_idx
116.32996965761296,40.00162404809887,-2170.0603841614247,4385.007565017467,4078.1237079885564,0.4730252804654386,0.11824321746826172,0
lon,lat,x,y,z,difdis,time,ue_idx
116.32996965761255,40.001624048098876,-2170.060384161393,4385.007565017481,4078.123707988557,0.4730252804352552,0.0685110092163086,0
lon,lat,x,y,z,difdis,time,ue_idx
116.31196912941603,39.99911868471638,-2168.7619064625865,4385.849400417415,4077.910609279955,1.2538206002014436,0.11937499046325684,0
lon,lat,x,y,z,difdis,time,ue_idx
116.3119691294161,39.99911868471634,-2168.7619064625937,4385.849400417415,4077.9106092799534,1.253820600196997,0.1264486312866211,0
lon,lat,x,y,z,difdis,time,ue_idx
116.31196912941613,39.99911868471638,-2168.7619064625947,4385.849400417412,4077.910609279955,1.2538206001934316,0.12066841125488281,0
lon,lat,x,y,z,difdis,time,ue_idx
116.3119691294163,39.99911868471637,-2168.761906462608,4385.849400417405,4077.910609279954,1.2538206001806385,0.12451314926147461,0
lon,lat,x,y,z,difdis,time,ue_idx
116.311969129416,39.999118684716386,-2168.761906462584,4385.849400417415,4077.910609279956,1.2538206002027228,0.12973856925964355,0
lon,lat,x,y,z,difdis,time,ue_idx
116.34936614228344,39.977897938481675,-2172.296158285193,4385.789790265219,4076.105326301482,2.8179782219307707,0.19054055213928223,0
lon,lat,x,y,z,difdis,time,ue_idx
116.38005624880864,39.9807397044184,-2174.5549866321207,4384.443962762843,4076.3471120315417,4.8910859493880485,0.11637091636657715,0
